Province/State,Country/Region,Lat,Long,date,confirmed,recovered,death
Anhui,Mainland China,31.82571,117.2264,2020-01-22,1,0,0
Anhui,Mainland China,31.82571,117.2264,2020-01-23,9,0,0
Anhui,Mainland China,31.82571,117.2264,2020-01-24,15,0,0
Anhui,Mainland China,31.82571,117.2264,2020-01-25,39,0,0
Anhui,Mainland China,31.82571,117.2264,2020-01-26,60,0,0
Anhui,Mainland China,31.82571,117.2264,2020-01-27,70,0,0
Anhui,Mainland China,31.82571,117.2264,2020-01-28,106,0,0
Anhui,Mainland China,31.82571,117.2264,2020-01-29,152,2,0
Anhui,Mainland China,31.82571,117.2264,2020-01-30,200,2,0
Anhui,Mainland China,31.82571,117.2264,2020-01-31,237,3,0
Anhui,Mainland China,31.82571,117.2264,2020-02-01,297,5,0
Anhui,Mainland China,31.82571,117.2264,2020-02-02,340,7,0
Anhui,Mainland China,31.82571,117.2264,2020-02-03,408,14,0
Anhui,Mainland China,31.82571,117.2264,2020-02-04,480,20,0
Anhui,Mainland China,31.82571,117.2264,2020-02-05,530,23,0
Anhui,Mainland China,31.82571,117.2264,2020-02-06,591,34,0
Anhui,Mainland China,31.82571,117.2264,2020-02-07,665,47,0
Anhui,Mainland China,31.82571,117.2264,2020-02-08,733,59,0
Anhui,Mainland China,31.82571,117.2264,2020-02-09,779,72,1
Anhui,Mainland China,31.82571,117.2264,2020-02-10,830,88,3
Anhui,Mainland China,31.82571,117.2264,2020-02-11,860,105,4
Anhui,Mainland China,31.82571,117.2264,2020-02-12,889,127,4
Anhui,Mainland China,31.82571,117.2264,2020-02-13,910,157,5
Anhui,Mainland China,31.82571,117.2264,2020-02-14,934,193,6
Anhui,Mainland China,31.82571,117.2264,2020-02-15,950,221,6
Anhui,Mainland China,31.82571,117.2264,2020-02-16,962,255,6
Anhui,Mainland China,31.82571,117.2264,2020-02-17,973,280,6
Anhui,Mainland China,31.82571,117.2264,2020-02-18,982,361,6
Anhui,Mainland China,31.82571,117.2264,2020-02-19,986,413,6
Anhui,Mainland China,31.82571,117.2264,2020-02-20,987,474,6
Anhui,Mainland China,31.82571,117.2264,2020-02-21,988,539,6
Anhui,Mainland China,31.82571,117.2264,2020-02-22,989,597,6
Anhui,Mainland China,31.82571,117.2264,2020-02-23,989,637,6
Anhui,Mainland China,31.82571,117.2264,2020-02-24,989,663,6
Anhui,Mainland China,31.82571,117.2264,2020-02-25,989,712,6
Anhui,Mainland China,31.82571,117.2264,2020-02-26,989,744,6
Beijing,Mainland China,40.18238,116.4142,2020-01-22,14,0,0
Beijing,Mainland China,40.18238,116.4142,2020-01-23,22,0,0
Beijing,Mainland China,40.18238,116.4142,2020-01-24,36,1,0
Beijing,Mainland China,40.18238,116.4142,2020-01-25,41,2,0
Beijing,Mainland China,40.18238,116.4142,2020-01-26,68,2,0
Beijing,Mainland China,40.18238,116.4142,2020-01-27,80,2,1
Beijing,Mainland China,40.18238,116.4142,2020-01-28,91,4,1
Beijing,Mainland China,40.18238,116.4142,2020-01-29,111,4,1
Beijing,Mainland China,40.18238,116.4142,2020-01-30,114,4,1
Beijing,Mainland China,40.18238,116.4142,2020-01-31,139,5,1
Beijing,Mainland China,40.18238,116.4142,2020-02-01,168,9,1
Beijing,Mainland China,40.18238,116.4142,2020-02-02,191,9,1
Beijing,Mainland China,40.18238,116.4142,2020-02-03,212,12,1
Beijing,Mainland China,40.18238,116.4142,2020-02-04,228,23,1
Beijing,Mainland China,40.18238,116.4142,2020-02-05,253,24,1
Beijing,Mainland China,40.18238,116.4142,2020-02-06,274,31,1
Beijing,Mainland China,40.18238,116.4142,2020-02-07,297,33,1
Beijing,Mainland China,40.18238,116.4142,2020-02-08,315,34,2
Beijing,Mainland China,40.18238,116.4142,2020-02-09,326,37,2
Beijing,Mainland China,40.18238,116.4142,2020-02-10,337,44,2
Beijing,Mainland China,40.18238,116.4142,2020-02-11,342,48,3
Beijing,Mainland China,40.18238,116.4142,2020-02-12,352,56,3
Beijing,Mainland China,40.18238,116.4142,2020-02-13,366,69,3
Beijing,Mainland China,40.18238,116.4142,2020-02-14,372,80,3
Beijing,Mainland China,40.18238,116.4142,2020-02-15,375,98,4
Beijing,Mainland China,40.18238,116.4142,2020-02-16,380,108,4
Beijing,Mainland China,40.18238,116.4142,2020-02-17,381,114,4
Beijing,Mainland China,40.18238,116.4142,2020-02-18,387,122,4
Beijing,Mainland China,40.18238,116.4142,2020-02-19,393,145,4
Beijing,Mainland China,40.18238,116.4142,2020-02-20,395,153,4
Beijing,Mainland China,40.18238,116.4142,2020-02-21,396,169,4
Beijing,Mainland China,40.18238,116.4142,2020-02-22,399,178,4
Beijing,Mainland China,40.18238,116.4142,2020-02-23,399,189,4
Beijing,Mainland China,40.18238,116.4142,2020-02-24,399,198,4
Beijing,Mainland China,40.18238,116.4142,2020-02-25,400,215,4
Beijing,Mainland China,40.18238,116.4142,2020-02-26,400,235,4
Chongqing,Mainland China,30.05718,107.874,2020-01-22,6,0,0
Chongqing,Mainland China,30.05718,107.874,2020-01-23,9,0,0
Chongqing,Mainland China,30.05718,107.874,2020-01-24,27,0,0
Chongqing,Mainland China,30.05718,107.874,2020-01-25,57,0,0
Chongqing,Mainland China,30.05718,107.874,2020-01-26,75,0,0
Chongqing,Mainland China,30.05718,107.874,2020-01-27,110,0,0
Chongqing,Mainland China,30.05718,107.874,2020-01-28,132,0,0
Chongqing,Mainland China,30.05718,107.874,2020-01-29,147,1,0
Chongqing,Mainland China,30.05718,107.874,2020-01-30,182,1,0
Chongqing,Mainland China,30.05718,107.874,2020-01-31,211,1,0
Chongqing,Mainland China,30.05718,107.874,2020-02-01,247,3,1
Chongqing,Mainland China,30.05718,107.874,2020-02-02,300,7,2
Chongqing,Mainland China,30.05718,107.874,2020-02-03,337,9,2
Chongqing,Mainland China,30.05718,107.874,2020-02-04,366,9,2
Chongqing,Mainland China,30.05718,107.874,2020-02-05,389,15,2
Chongqing,Mainland China,30.05718,107.874,2020-02-06,411,24,2
Chongqing,Mainland China,30.05718,107.874,2020-02-07,426,31,2
Chongqing,Mainland China,30.05718,107.874,2020-02-08,428,39,2
Chongqing,Mainland China,30.05718,107.874,2020-02-09,468,51,2
Chongqing,Mainland China,30.05718,107.874,2020-02-10,486,66,2
Chongqing,Mainland China,30.05718,107.874,2020-02-11,505,79,3
Chongqing,Mainland China,30.05718,107.874,2020-02-12,518,102,3
Chongqing,Mainland China,30.05718,107.874,2020-02-13,529,128,4
Chongqing,Mainland China,30.05718,107.874,2020-02-14,537,152,5
Chongqing,Mainland China,30.05718,107.874,2020-02-15,544,184,5
Chongqing,Mainland China,30.05718,107.874,2020-02-16,551,207,5
